# SCHD-10 build gauge  cohort_stable=50/87  qualified=10  ready=BUILD-SIGNAL (threshold=50%+)  |  run=2026-09-25_1722  universe=1142  cache_hit=48.2%  price_stale=60/1142  fetch_failed=11/1142
ticker,schd_rank_score,schd10_score,schd10_qualified,ready_to_buy_score,total_return_potential,target_upside,div_yield,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div,trailingPE,forwardPE,peg,turn_state,recent_action,vol_event_read,vol_spike_tag,eps_rev_30d,eps_rev_90d,quality_flag,cyclicality,pct_change_1d,pct_change_5d,pct_change_1mo,vol_vs_10d_avg,vol_vs_3mo_avg,vol_spike_recent,dist_from_ath,price_above_ma50,conviction_count,sector,schd_holding
FHI,29.20,30.60,False,,7.9%,5.5%,2.42,True,0.26,2026-08-06,50.00,False,10.75,9.89,1.40,EARLY_TURN,NORMAL,light-dip,ACCUM-CONFIRMED-RECENTLY,1.07,4.50,HIGH,MIXED,0.8%,1.3%,-11.2%,0.44,0.59,True,-14.0%,False,9.00,Financial Services,True
UPS,28.70,45.70,False,0.0,30.2%,23.3%,6.98,False,1.22,2026-08-16,40.00,False,17.46,11.64,,EARLY_TURN,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,-0.15,0.84,MEDIUM,CYCLICAL,2.1%,-5.1%,-11.1%,0.88,0.96,False,-59.8%,False,7.00,Industrials,True
KFY,28.20,19.30,False,0.0,28.7%,25.8%,2.87,False,0.39,2026-09-21,4.00,True,13.59,11.24,1.20,WATCH,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,0.99,-0.20,MEDIUM,CYCLICAL,-0.4%,-6.6%,-14.6%,0.89,1.14,False,-18.0%,False,5.00,Industrials,True
BMY,27.30,24.00,False,,10.1%,6.1%,3.99,True,0.55,2026-10-01,,False,13.85,9.58,,WATCH,STRENGTH-HOLLOW,light-dip,ACCUM-CONFIRMED-RECENTLY,0.10,6.46,MEDIUM,MIXED,2.2%,-0.3%,-7.0%,0.74,0.86,True,-22.8%,False,8.00,Healthcare,True
M,27.20,18.60,False,,6.5%,3.2%,3.30,True,0.27,2026-09-14,11.00,False,8.29,9.47,,WATCH,NORMAL,FAKE-BOUNCE,ACCUM-CONFIRMED-RECENTLY,2.68,3.45,LOW,CYCLICAL,1.5%,3.2%,-0.8%,0.70,0.78,True,-40.3%,False,7.00,Consumer Cyclical,True
AGM,27.00,19.50,False,28.2,23.0%,20.1%,2.90,False,0.34,2026-09-14,11.00,False,11.70,9.25,0.72,FALLING_KNIFE,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,8.38,10.82,MEDIUM,MIXED,-2.2%,-3.1%,-1.9%,1.18,1.24,False,-13.8%,False,6.00,Financial Services,True
ABT,26.20,16.20,False,3.4,21.2%,18.7%,2.45,False,0.79,2026-10-14,,False,32.78,16.70,,FUNDAMENTALS_READY_PRICE_FALLING,NORMAL,normal,ACCUM-CONFIRMED-RECENTLY,0.03,0.10,MEDIUM,DEFENSIVE,0.2%,-1.3%,-11.2%,0.80,0.70,True,-29.0%,False,9.00,Healthcare,True
TGT,25.80,-4.40,False,,6.3%,3.4%,2.90,True,0.47,2026-11-09,,False,16.35,16.49,1.98,FALLING_KNIFE,NORMAL,normal,,5.60,7.13,LOW,DEFENSIVE,0.8%,-0.5%,-4.0%,0.86,0.64,False,-41.5%,True,6.00,Consumer Defensive,True
PG,24.80,22.80,False,8.9,12.7%,9.8%,2.91,True,0.64,2026-07-23,64.00,False,22.12,19.76,,FALLING_KNIFE,FELL-RECOVERED,light-dip,,0.04,-1.08,HIGH,DEFENSIVE,0.4%,-0.1%,0.9%,0.70,0.64,False,-18.9%,True,4.00,Consumer Defensive,True
PFBC,24.20,15.00,False,,6.3%,3.4%,2.88,True,0.36,2026-10-04,,False,10.23,9.89,,CONFIRMED,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,-2.37,-2.07,MEDIUM,MIXED,0.8%,3.9%,5.7%,1.07,1.88,False,-2.5%,True,5.00,Financial Services,True
CWEN,23.10,24.10,False,,46.7%,40.6%,6.13,False,2.12,2026-08-31,25.00,False,34.62,18.18,3.67,WATCH,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,-40.16,-29.27,SPECULATIVE,MIXED,2.0%,-3.4%,-8.3%,0.81,0.86,False,-28.8%,False,6.00,Utilities,True
ETD,22.70,31.90,False,,10.7%,3.3%,7.33,True,1.00,2026-09-02,23.00,False,13.65,16.70,,EARLY_TURN,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,2.00,-15.52,MEDIUM,CYCLICAL,1.1%,-0.6%,-9.8%,0.70,0.61,False,-41.2%,False,5.00,Consumer Cyclical,True
LMT,22.40,11.60,False,15.9,25.4%,22.8%,2.63,False,0.50,2026-08-31,25.00,False,19.15,15.86,1.02,FUNDAMENTALS_READY_PRICE_FALLING,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,0.21,2.02,MEDIUM,MIXED,-0.8%,-2.6%,-8.1%,0.91,0.93,False,-24.9%,False,8.00,Industrials,True
MO,21.90,27.90,False,,7.9%,1.7%,6.16,True,0.89,2026-09-14,11.00,False,14.49,11.74,,FALLING_KNIFE,FELL-RECOVERED,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.00,-0.16,HIGH,DEFENSIVE,-0.1%,-1.0%,-0.4%,0.58,0.60,False,-10.7%,False,5.00,Consumer Defensive,True
DINO,21.70,16.70,False,,-2.3%,-4.2%,1.87,False,0.19,2026-08-10,46.00,False,10.18,9.03,1.13,WATCH,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,26.15,59.88,MEDIUM,CYCLICAL,1.0%,-7.8%,10.7%,0.60,0.79,False,-9.8%,True,6.00,Energy,True
KMB,21.10,8.10,False,,23.2%,18.1%,5.16,False,1.00,2026-09-03,22.00,False,19.45,13.16,,FALLING_KNIFE,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,-0.19,-1.17,MEDIUM,DEFENSIVE,1.2%,0.6%,-10.8%,0.66,0.77,False,-34.6%,False,4.00,Consumer Defensive,True
ADP,20.90,16.90,False,0.0,11.6%,9.1%,2.52,True,0.61,2026-09-10,15.00,False,24.08,19.68,2.50,FUNDAMENTALS_READY_PRICE_FALLING,BASING,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.00,0.58,HIGH,MIXED,0.2%,-2.8%,-6.3%,0.45,0.48,False,-20.1%,False,8.00,Technology,True
PAG,20.30,14.30,False,,3.9%,1.2%,2.69,True,0.40,2026-08-13,43.00,False,15.22,14.56,,FALLING_KNIFE,BASING,normal,DISTRIB-CONFIRMED-RECENTLY,0.74,0.73,SPECULATIVE,MIXED,0.8%,-1.4%,-3.5%,1.01,1.06,False,-7.7%,False,5.00,Consumer Cyclical,True
TXN,19.80,22.00,False,37.3,18.8%,16.8%,2.02,False,0.85,2026-10-29,,False,42.26,26.12,0.97,WATCH,STRENGTH-HOLLOW,FAKE-BOUNCE,ACCUM-CONFIRMED-RECENTLY,0.66,13.64,HIGH,CYCLICAL,2.7%,4.3%,6.2%,0.56,0.50,True,-16.8%,True,8.00,Technology,True
IPAR,19.10,10.10,False,,10.1%,7.4%,2.71,True,0.61,2026-09-14,11.00,False,22.55,22.66,,WATCH,NORMAL,FAKE-BOUNCE,ACCUM-CONFIRMED-RECENTLY,0.00,-6.74,MEDIUM,DEFENSIVE,1.8%,4.8%,1.1%,0.72,0.65,True,-26.8%,False,3.00,Consumer Defensive,True
BAH,19.00,10.00,False,0.0,19.9%,16.7%,3.13,False,0.36,2026-08-13,43.00,False,11.45,10.82,,FALLING_KNIFE,GRINDING-DOWN,light-dip,,0.26,-1.73,MEDIUM,CYCLICAL,-1.2%,-5.3%,-1.7%,0.75,0.59,False,-61.7%,False,4.00,Industrials,True
EOG,18.20,9.30,False,9.5,18.3%,15.4%,2.91,False,0.31,2026-10-15,,False,10.93,9.41,1.35,FUNDAMENTALS_READY_PRICE_FALLING,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,1.63,0.24,HIGH,CYCLICAL,-1.8%,-2.7%,-3.1%,0.72,0.79,False,-9.0%,False,9.00,Energy,True
CHCO,18.10,7.20,False,,1.3%,-1.1%,2.45,False,0.37,2026-07-14,73.00,False,15.55,14.73,,WATCH,NORMAL,ELEVATED-CHURN,,0.63,1.50,MEDIUM,MIXED,1.3%,-0.9%,-1.9%,1.21,1.45,True,-4.7%,False,8.00,Financial Services,True
ORI,18.00,9.10,False,1.9,18.5%,15.3%,3.21,False,0.27,2026-09-03,22.00,False,8.35,11.44,1.39,FALLING_KNIFE,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,1.02,-1.00,MEDIUM,MIXED,-0.5%,-5.5%,-11.1%,0.92,1.06,False,-19.3%,False,4.00,Financial Services,True
CNS,17.40,18.80,False,,6.4%,2.9%,3.48,True,0.79,2026-08-09,47.00,False,22.83,18.64,1.69,EARLY_TURN,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,1.36,4.10,HIGH,MIXED,-1.3%,0.6%,-11.0%,0.82,0.97,False,-33.0%,False,9.00,Financial Services,True
BX,17.30,21.30,False,,26.3%,21.9%,4.42,False,1.11,2026-08-02,54.00,False,26.49,15.82,1.09,WATCH,NORMAL,normal,,-0.04,-0.81,MEDIUM,MIXED,1.0%,-5.2%,-17.3%,1.14,0.97,False,-41.1%,False,8.00,Financial Services,True
PFG,17.10,6.30,False,,0.2%,-2.6%,2.78,False,0.45,2026-09-02,23.00,False,16.35,11.05,,WATCH,NORMAL,normal,ACCUM-CONFIRMED-RECENTLY,-0.07,1.74,MEDIUM,MIXED,0.5%,-2.5%,2.3%,0.82,0.91,True,-5.3%,True,6.00,Financial Services,True
MSM,16.90,16.90,False,0.0,10.9%,8.1%,2.87,True,0.84,2026-07-07,80.00,False,29.28,22.26,2.48,FUNDAMENTALS_READY_PRICE_FALLING,BASING,light-dip,ACCUM-CONFIRMED-RECENTLY,0.00,9.89,MEDIUM,CYCLICAL,0.4%,-0.8%,-1.0%,0.69,0.79,True,-7.1%,False,6.00,Industrials,True
ARES,16.30,30.30,False,13.9,25.3%,21.2%,4.05,False,2.27,2026-09-15,10.00,False,55.71,16.97,0.90,EARLY_TURN,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.10,-1.74,MEDIUM,CYCLICAL,1.6%,-1.5%,-14.1%,0.63,0.68,False,-39.1%,False,5.00,Financial Services,True
DRI,16.20,5.20,False,,20.2%,16.9%,3.24,False,0.57,2026-10-08,,False,19.13,16.11,,FALLING_KNIFE,DISTRIBUTION,ELEVATED-DOWN,DISTRIB-CONFIRMED-RECENTLY,0.09,-1.03,LOW,MIXED,-3.6%,-4.5%,-8.7%,1.30,1.50,False,-13.1%,False,3.00,Consumer Cyclical,True
BBY,16.10,16.30,False,,0.0%,-4.2%,4.22,False,0.64,2026-09-16,9.00,False,15.06,12.55,1.70,WATCH,FELL-RECOVERED,light-dip,,2.18,1.99,MEDIUM,MIXED,-0.5%,-2.5%,3.5%,0.66,0.60,False,-36.2%,True,5.00,Consumer Cyclical,True
HSY,15.90,6.90,False,12.7,26.9%,23.5%,3.39,False,0.77,2026-08-13,43.00,False,22.70,16.86,0.85,FALLING_KNIFE,GRINDING-DOWN,light-dip,ACCUM-CONFIRMED-RECENTLY,0.00,-0.71,MEDIUM,MIXED,-0.3%,-2.0%,-10.2%,0.62,0.56,True,-39.9%,False,4.00,Consumer Defensive,True
COP,15.80,5.20,False,20.2,17.3%,14.8%,2.59,False,0.44,2026-08-16,40.00,False,16.82,13.18,1.08,WATCH,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,2.68,4.84,MEDIUM,CYCLICAL,-1.6%,-3.4%,-2.5%,0.64,0.72,False,-10.1%,True,9.00,Energy,True
AFG,14.60,5.70,False,2.4,15.3%,12.7%,2.55,False,0.30,2026-07-14,73.00,False,12.09,11.39,2.30,FALLING_KNIFE,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.65,0.58,MEDIUM,MIXED,-0.1%,-2.9%,-4.7%,0.55,0.65,False,-9.2%,False,5.00,Financial Services,True
WSO,14.40,18.40,False,6.9,23.4%,19.5%,3.88,False,1.05,2026-07-15,72.00,False,27.59,23.90,,WATCH,NORMAL,normal,ACCUM-CONFIRMED-RECENTLY,0.04,-3.64,MEDIUM,MIXED,-0.9%,1.8%,0.9%,1.04,1.16,True,-44.5%,False,5.00,Industrials,True
APA,12.10,3.70,False,,9.9%,7.5%,2.34,True,0.21,2026-10-21,,False,9.02,9.56,,FALLING_KNIFE,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,6.42,4.24,HIGH,CYCLICAL,-2.1%,-4.8%,3.8%,0.77,0.93,False,-17.7%,True,8.00,Energy,True
ACN,12.00,3.00,False,6.4,13.0%,9.3%,3.70,True,0.51,2026-07-08,79.00,False,14.06,12.00,1.33,FALLING_KNIFE,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,0.02,0.03,MEDIUM,MIXED,-0.7%,-2.9%,-2.9%,0.95,0.66,False,-57.8%,True,5.00,Technology,True
OKE,10.90,3.80,False,,19.3%,14.5%,4.78,False,0.73,2026-08-02,54.00,False,15.20,14.21,1.71,FALLING_KNIFE,GRINDING-DOWN,light-dip,ACCUM-CONFIRMED-RECENTLY,-1.58,-0.78,SPECULATIVE,CYCLICAL,-2.8%,-5.2%,-6.6%,0.70,0.78,True,-24.9%,False,4.00,Energy,True
QCOM,10.90,-2.10,False,,-2.1%,-3.9%,1.78,False,0.41,2026-09-02,23.00,False,23.11,19.79,,WATCH,NORMAL,normal,DISTRIB-CONFIRMED-RECENTLY,0.02,-4.34,HIGH,CYCLICAL,4.0%,13.7%,23.4%,1.08,1.09,False,-22.3%,True,5.00,Technology,True
MUR,10.60,7.00,False,0.0,13.6%,9.9%,3.72,True,0.67,2026-08-16,40.00,False,17.99,10.75,0.33,WATCH,GRINDING-DOWN,normal,DISTRIB-CONFIRMED-RECENTLY,14.00,-3.94,MEDIUM,CYCLICAL,-2.8%,-2.8%,4.7%,0.87,0.89,False,-29.2%,False,5.00,Energy,True
GIS,10.50,-2.50,False,,17.9%,10.6%,7.25,False,0.59,2026-07-09,78.00,False,,10.65,,FALLING_KNIFE,GRINDING-DOWN,normal,,-0.72,-1.55,LOW,DEFENSIVE,-3.4%,-7.4%,-16.1%,1.01,1.05,True,-63.0%,False,3.00,Consumer Defensive,True
VZ,10.50,5.60,False,,15.4%,9.5%,5.94,True,0.73,2026-10-08,,False,12.26,8.92,,FUNDAMENTALS_READY_PRICE_FALLING,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,-0.07,0.20,LOW,MIXED,-0.5%,-2.1%,-6.2%,0.54,0.53,False,-15.2%,False,6.00,Communication Services,True
CNA,9.70,0.70,False,,10.7%,6.6%,4.09,True,0.41,2026-08-16,40.00,False,10.33,9.58,0.92,FALLING_KNIFE,GRINDING-DOWN,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.00,0.00,MEDIUM,MIXED,-0.3%,-4.2%,-7.0%,0.65,0.95,False,-17.5%,False,3.00,Financial Services,True
ERIE,9.20,-19.80,False,,,,2.58,False,0.65,2026-10-04,,False,20.24,15.91,,FALLING_KNIFE,NORMAL,light-dip,DISTRIB-CONFIRMED-RECENTLY,0.32,0.32,MEDIUM,MIXED,1.8%,-6.8%,-13.4%,0.60,0.53,False,-59.3%,False,8.00,Financial Services,True
