# run=2026-09-23_1034  universe=1139  cache_hit=47.7%  price_stale=38/1139  fetch_failed=11/1139
ticker,quality_flag,ready_to_buy_excluded,target_upside,turn_state,eps_rev_90d,eps_rev_30d,debtToEquity,fcf_margin,profitMargins,survivability,price_above_ma50,pct_change_1mo,sector
SOLS,SPECULATIVE,SPECULATIVE,36.3%,WATCH,6.44,0.83,152.77,-0.00,0.05,25.60,False,4.9%,Basic Materials
TDG,SPECULATIVE,SPECULATIVE,35.9%,EARLY_TURN,3.14,-0.09,,0.02,0.21,75.80,False,-7.2%,Industrials
BSP,SPECULATIVE,SPECULATIVE,35.6%,FALLING_KNIFE,,0.54,394.29,,0.12,33.20,False,-14.5%,Technology
OMC,LOW,LOW_QUALITY,35.2%,FALLING_KNIFE,-3.82,-2.49,107.74,0.20,0.02,42.50,False,-13.8%,Communication Services
VFC,SPECULATIVE,SPECULATIVE,35.1%,WATCH,-2.46,0.21,280.72,0.06,0.03,16.60,False,-5.6%,Consumer Cyclical
BA,LOW,LOW_QUALITY,35.0%,EARLY_TURN,0.95,1.68,790.88,0.04,0.03,28.50,False,-5.3%,Industrials
PFGC,SPECULATIVE,SPECULATIVE,34.9%,EARLY_TURN,-3.18,-2.91,158.85,0.05,0.01,24.90,False,-13.0%,Consumer Defensive
CVS,LOW,LOW_QUALITY,34.8%,FALLING_KNIFE,1.73,0.26,95.50,0.07,0.01,40.70,False,-7.3%,Healthcare
WLK,LOW,LOW_QUALITY,34.6%,WATCH,-15.63,-3.88,63.81,0.00,-0.11,31.20,False,-12.6%,Basic Materials
TRMB,LOW,LOW_QUALITY,34.5%,CONFIRMED,1.15,1.07,28.55,0.05,-0.03,47.60,True,-1.1%,Technology
IOT,LOW,LOW_QUALITY,34.4%,WATCH,6.14,5.51,4.34,0.01,0.05,47.80,True,-2.9%,Technology
HII,SPECULATIVE,SPECULATIVE,34.0%,FALLING_KNIFE,3.76,3.27,55.25,-0.03,0.05,32.40,False,-8.1%,Industrials
PSN,LOW,LOW_QUALITY,34.0%,FALLING_KNIFE,-7.23,-0.04,59.88,0.05,0.03,32.40,False,-9.7%,Technology
RYAN,LOW,LOW_QUALITY,33.7%,FALLING_KNIFE,3.11,-0.17,374.71,0.06,0.03,27.80,False,-12.7%,Financial Services
MTDR,SPECULATIVE,SPECULATIVE,33.6%,FALLING_KNIFE,2.79,5.99,69.10,-0.14,0.19,47.60,False,-10.2%,Energy
IP,LOW,LOW_QUALITY,33.2%,FUNDAMENTALS_READY_PRICE_FALLING,12.29,0.56,68.51,0.09,-0.14,38.80,False,-13.3%,Consumer Cyclical
BIP,SPECULATIVE,SPECULATIVE,33.2%,WATCH,7.94,1.44,205.36,-0.03,0.01,18.80,False,-9.2%,Utilities
SYNA,SPECULATIVE,SPECULATIVE,33.1%,WATCH,0.56,0.56,94.33,0.04,-0.41,20.90,False,0.3%,Technology
AKAM,SPECULATIVE,SPECULATIVE,32.9%,WATCH,1.00,0.66,196.67,0.04,0.10,31.00,True,4.4%,Technology
AZO,LOW,LOW_QUALITY,32.8%,FALLING_KNIFE,-0.65,-0.42,,0.02,0.12,50.80,False,-5.1%,Consumer Cyclical
LI,SPECULATIVE,SPECULATIVE,32.6%,WATCH,-46.63,-51.45,22.27,-0.85,-0.04,33.80,False,-9.6%,Consumer Cyclical
RH,SPECULATIVE,SPECULATIVE,32.6%,FALLING_KNIFE,-4.08,-3.26,3414,0.11,0.03,14.30,False,-18.1%,Consumer Cyclical
CBRE,SPECULATIVE,SPECULATIVE,32.6%,FUNDAMENTALS_READY_PRICE_FALLING,2.63,0.20,117.79,0.04,0.03,34.50,False,-9.3%,Real Estate
VNOM,LOW,LOW_QUALITY,32.5%,FALLING_KNIFE,-4.84,-2.16,16.32,0.00,0.03,57.00,False,-8.0%,Energy
CEG,SPECULATIVE,SPECULATIVE,32.2%,WATCH,-2.15,-0.41,76.42,-0.07,0.11,31.70,False,-3.4%,Utilities
AAL,SPECULATIVE,SPECULATIVE,32.0%,WATCH,-3.44,-11.22,,0.06,-0.01,20.50,False,-3.1%,Industrials
RVMD,SPECULATIVE,SPECULATIVE,31.9%,WATCH,-5.48,9.61,45.68,-0.02,0.00,32.20,False,-8.3%,Healthcare
SNPS,LOW,LOW_QUALITY,31.5%,CONFIRMED,1.69,1.42,34.80,0.04,0.11,63.90,True,4.4%,Technology
BWA,LOW,LOW_QUALITY,31.4%,FALLING_KNIFE,1.33,-0.04,70.11,0.09,0.03,43.20,False,-10.2%,Consumer Cyclical
KNX,LOW,LOW_QUALITY,31.4%,FUNDAMENTALS_READY_PRICE_FALLING,15.90,0.76,38.41,0.04,0.01,39.40,False,-6.0%,Industrials
CSGP,LOW,LOW_QUALITY,31.4%,FALLING_KNIFE,-1.22,-7.62,14.54,0.04,0.02,48.80,False,-12.0%,Real Estate
XYZ,SPECULATIVE,SPECULATIVE,31.3%,FALLING_KNIFE,4.43,0.38,32.58,-0.00,0.01,37.40,False,-8.8%,Technology
LOW,LOW,LOW_QUALITY,31.1%,EARLY_TURN,-3.34,-0.52,,0.04,0.07,53.60,False,-10.9%,Consumer Cyclical
MGM,SPECULATIVE,SPECULATIVE,30.9%,EARLY_TURN,-9.69,-0.13,893.31,0.09,0.02,21.70,False,-11.6%,Consumer Cyclical
HRL,LOW,LOW_QUALITY,30.8%,WATCH,-0.46,-0.34,36.33,0.06,0.03,46.10,False,-16.4%,Consumer Defensive
DAR,LOW,LOW_QUALITY,30.4%,FUNDAMENTALS_READY_PRICE_FALLING,23.52,10.25,78.61,0.02,0.09,36.80,False,-4.9%,Consumer Defensive
MDLN,LOW,LOW_QUALITY,30.4%,WATCH,-4.92,0.23,66.26,0.02,0.02,40.00,False,-0.2%,Healthcare
WCN,LOW,LOW_QUALITY,30.0%,WATCH,0.31,-0.03,121.68,0.03,0.11,42.90,False,-8.3%,Industrials
OTIS,LOW,LOW_QUALITY,29.8%,EARLY_TURN,-3.77,-0.57,,0.06,0.10,49.40,False,-4.9%,Industrials
UNH,LOW,LOW_QUALITY,29.7%,FALLING_KNIFE,8.02,0.78,69.21,0.07,0.03,48.70,False,-4.8%,Healthcare
DD,LOW,LOW_QUALITY,29.5%,FUNDAMENTALS_READY_PRICE_FALLING,1.43,-0.00,22.90,0.10,0.01,58.00,False,-5.1%,Basic Materials
RIVN,SPECULATIVE,SPECULATIVE,29.3%,FALLING_KNIFE,8.88,0.58,104.41,-0.07,-0.55,17.50,False,-12.0%,Consumer Cyclical
DPZ,SPECULATIVE,SPECULATIVE,29.3%,FALLING_KNIFE,-0.42,-0.03,,0.06,0.12,47.70,False,-14.7%,Consumer Cyclical
SONY,LOW,LOW_QUALITY,29.1%,WATCH,2.86,3.35,21.32,24.68,-0.02,64.20,True,-2.9%,Technology
XPO,LOW,LOW_QUALITY,29.1%,EARLY_TURN,7.97,0.69,206.17,0.02,0.05,24.30,False,-9.0%,Industrials
ROIV,SPECULATIVE,SPECULATIVE,29.0%,FALLING_KNIFE,-10.16,0.00,2.18,-0.04,0.00,41.80,True,2.7%,Healthcare
