# run=2026-09-24_0754  universe=1144  cache_hit=47.6%  price_stale=1072/1144  fetch_failed=10/1144
ready_to_buy_score,ticker,price,target_upside,quality_flag,cyclicality,cyclical_driver,cycle_position,cycle_reason,turn_state,turn_persist,trailingPE,forwardPE,peg,pe_delta,eps_rev_90d,eps_rev_30d,rev_accel,rsi14,pct_change_1d,pct_change_5d,pct_change_1mo,dist_from_ath,pct_from_52wk_high,pct_from_52wk_low,pct_from_ma50,close_vs_range,recent_action,gap_pct,intraday_range_pct,trend_3d,days_since_5pct_move,last_5pct_direction,price_above_ma50,sector,vol_1d,vol_10d_avg,vol_3mo_avg,vol_vs_10d_avg,vol_vs_3mo_avg,vol_event,vol_event_read,volume_trend,vol_spike_tag,days_since_vol_spike,last_vol_spike_direction,last_vol_spike_magnitude,vol_spike_recent,rtb_b4,rtb_b2,rtb_b3,rtb_b1,rtb_b5,rtb_b1_confirm,rtb_b1_ma50,rtb_b1_5d,rtb_b1_1mo,rtb_b1_combo,rtb_quality_pts,rtb_cycle_pts,rtb_f1_timing,rtb_f2_estimates,rtb_f3_ath,rtb_f4_targets,rtb_f5_trend,rtb_f6_volume,rtb_f7_cycle,div_yield,total_return_potential,near_target,payout_ratio,ex_dividend_date,days_since_ex_div,fresh_post_ex_div
40.9,AZN,163.33,29.9%,HIGH,MIXED,ECONOMIC,MID,margins expanding + est rising (op_m=23%),FUNDAMENTALS_READY_PRICE_FALLING,,24.45,14.10,,10.30,43.98,0.00,-43.98,49.10,-2.8%,0.9%,-1.6%,-23.2%,-23.2%,12.0%,-0.5%,0.00,NORMAL,-0.90,2.61,MIXED,35.00,DOWN,False,Healthcare,2361142,3109500,2923023,0.76,0.81,LIGHT,light-dip,1.06,DISTRIB-CONFIRMED-RECENTLY,11.00,DOWN,1.76,False,10.0,20.0,9.9,-2.0,3.0,3.0,-4.0,3.0,-4.0,0.0,10.0,0.0,-2.0,20.0,9.9,3.0,,,10.0,1.98,31.9%,False,0.47,2026-08-06,49.00,False
40.7,IDCC,326.55,41.7%,HIGH,MIXED,ECONOMIC,MID,margins expanding + est rising (op_m=54%),WATCH,,38.46,28.18,,10.30,3.07,0.00,-3.07,47.70,-0.1%,0.1%,-4.6%,-20.9%,-20.9%,31.1%,3.0%,9.60,NORMAL,1.85,3.15,MIXED,37.00,UP,True,Technology,160407,259560,295718,0.62,0.54,LIGHT,light-dip,0.88,ACCUM-CONFIRMED-RECENTLY,3.00,UP,2.03,True,10.0,1.6,1.1,6.0,22.0,3.0,4.0,3.0,-4.0,0.0,10.0,0.0,6.0,1.6,1.1,22.0,,,10.0,0.86,42.5%,False,0.32,2026-10-13,,False
40.4,RDDT,151.98,40.6%,MEDIUM,MIXED,ECONOMIC,MID,margins expanding + est rising (op_m=29%),FALLING_KNIFE,,35.34,15.69,0.78,19.70,9.24,0.66,-8.58,46.50,-4.2%,-4.8%,-0.9%,-46.3%,-42.3%,27.4%,-6.2%,58.70,GRINDING-DOWN,-2.97,4.72,MIXED,1.00,UP,False,Communication Services,4565993,5602230,5653888,0.81,0.81,NORMAL,normal,0.99,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,2.46,False,8.0,5.6,10.8,-6.0,22.0,3.0,-6.0,-3.0,0.0,0.0,8.0,0.0,-6.0,5.6,10.8,22.0,,,8.0,,40.6%,False,0.00,,,False
39.8,FIVE,227.41,36.7%,MEDIUM,CYCLICAL,ECONOMIC,EARLY,margins expanding + est rising (op_m=9%),FALLING_KNIFE,,20.40,20.56,,-0.20,13.80,11.39,-2.41,41.50,-3.7%,-3.7%,-9.1%,-13.8%,-13.8%,65.1%,-1.5%,67.20,GRINDING-DOWN,-1.70,7.03,MIXED,5.00,DOWN,False,Consumer Cyclical,1392933,1187700,1248300,1.17,1.12,NORMAL,normal,0.95,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.67,False,10.0,18.8,0.0,-11.0,22.0,3.0,-6.0,-3.0,-5.0,0.0,8.0,2.0,-11.0,18.8,0.0,22.0,,,10.0,,36.7%,False,0.00,,,False
39.6,AEIS,279.43,53.6%,MEDIUM,CYCLICAL,ECONOMIC,EARLY,margins expanding + est rising (op_m=17%),FUNDAMENTALS_READY_PRICE_FALLING,,51.56,18.22,2.77,33.30,30.23,0.99,-29.24,50.40,6.3%,11.5%,-2.2%,-29.7%,-29.7%,71.3%,-4.2%,87.20,NORMAL,3.18,4.85,RISING,0.00,UP,False,Industrials,514933,596540,812343,0.86,0.63,NORMAL,normal,0.73,ACCUM-CONFIRMED-RECENTLY,3.00,UP,1.53,True,10.0,17.1,-2.5,-2.0,20.0,3.0,-4.0,3.0,-4.0,0.0,8.0,2.0,-2.0,17.1,-2.5,20.0,,,10.0,0.14,53.7%,False,0.07,2026-08-23,32.00,False
39.4,AS,26.90,77.2%,MEDIUM,CYCLICAL,ECONOMIC,EARLY,margins expanding + est rising (op_m=8%),FUNDAMENTALS_READY_PRICE_FALLING,,28.02,16.41,0.45,11.60,4.46,2.55,-1.91,35.60,-2.0%,1.1%,-17.6%,-37.1%,-37.1%,3.1%,-16.6%,6.40,NORMAL,-0.15,2.90,MIXED,29.00,DOWN,False,Consumer Cyclical,5668655,7906340,5624074,0.72,1.01,LIGHT,light-dip,1.41,ACCUM-CONFIRMED-RECENTLY,3.00,UP,2.10,True,10.0,4.9,7.5,-3.0,20.0,3.0,-4.0,3.0,-5.0,0.0,8.0,2.0,-3.0,4.9,7.5,20.0,,,10.0,,77.2%,False,0.00,,,False
39.2,ALGN,148.17,40.8%,MEDIUM,MIXED,ECONOMIC,TROUGH,"margins contracting, estimates stabilising",FUNDAMENTALS_READY_PRICE_FALLING,,25.72,11.81,,13.90,1.42,0.00,-1.42,37.20,0.9%,0.8%,-8.8%,-79.2%,-26.1%,21.5%,-10.2%,17.40,GAP-UP-FADED,3.83,4.27,MIXED,25.00,DOWN,False,Healthcare,1321010,985060,982537,1.34,1.34,ELEVATED,ELEVATED-CHURN,1.00,DISTRIB-CONFIRMED-RECENTLY,3.00,DOWN,1.52,False,8.0,0.8,11.4,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,8.0,0.0,-3.0,0.8,11.4,22.0,,,8.0,,40.8%,False,0.00,,,False
38.7,ATI,184.18,41.1%,MEDIUM,CYCLICAL,ECONOMIC,EARLY,margins expanding + est rising (op_m=18%),FUNDAMENTALS_READY_PRICE_FALLING,,54.01,28.90,1.33,25.10,17.89,2.39,-15.50,36.70,-2.6%,-1.3%,-11.0%,-24.4%,-24.4%,145.5%,-9.3%,13.20,GRINDING-DOWN,-1.93,3.63,FALLING,6.00,DOWN,False,Industrials,1349338,1755880,1747720,0.77,0.77,LIGHT,light-dip,1.00,ACCUM-CONFIRMED-RECENTLY,3.00,UP,2.31,True,10.0,11.9,3.8,-6.0,22.0,3.0,-4.0,0.0,-5.0,0.0,8.0,2.0,-6.0,11.9,3.8,22.0,,,10.0,,41.1%,False,0.00,2016-08-15,3692,False
38.5,NTES,117.02,38.4%,HIGH,MIXED,ECONOMIC,MID,"margins expanding, estimates not yet moving",FUNDAMENTALS_READY_PRICE_FALLING,,15.79,10.87,,4.90,0.22,0.37,0.15,43.30,-0.4%,-2.1%,-8.7%,-26.7%,-25.2%,10.3%,-5.8%,38.10,GRINDING-DOWN,-0.09,0.72,MIXED,21.00,UP,False,Communication Services,580133,627340,939665,0.93,0.62,NORMAL,normal,0.67,,,,,False,10.0,0.5,12.0,-6.0,22.0,3.0,-4.0,0.0,-5.0,0.0,10.0,0.0,-6.0,0.5,12.0,22.0,,,10.0,3.43,41.9%,False,0.42,2026-09-02,22.00,False
37.9,FUTU,109.99,46.3%,HIGH,MIXED,RATE,MID,"margins expanding, estimates not yet moving",WATCH,,10.97,8.91,,2.10,-9.93,1.04,10.97,44.70,-3.6%,1.2%,-11.0%,-45.7%,-45.7%,36.6%,-0.1%,4.10,NORMAL,-1.05,3.13,MIXED,19.00,UP,False,Financial Services,751450,766870,2754453,0.98,0.27,NORMAL,normal,0.28,,,,,False,10.0,-4.3,13.2,-3.0,22.0,3.0,-4.0,3.0,-5.0,0.0,10.0,0.0,-3.0,-4.3,13.2,22.0,,,10.0,2.36,48.7%,False,0.26,2026-04-15,162.00,False
